store_name,address,city,state,country,category,latitude,longitude
Vismaya Electronics Malleswaram 8th Cross,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Consumer Electronics,13.003576,77.568341
Vismaya Electronics Malleswaram 8th Cross Digital,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Home Appliances,13.003475,77.569121
Vismaya Electronics Malleswaram 8th Cross Express,8th Cross Sampige Road Malleswaram,Bengaluru,Karnataka,India,Mobile & Accessories,13.002176,77.569614
Vismaya Electronics Palace Guttahalli,Palace Guttahalli Main Road,Bengaluru,Karnataka,India,Electronics,12.99956,77.576017
Vismaya Electronics Palace Guttahalli Digital,Palace Guttahalli Main Road,Bengaluru,Karnataka,India,Consumer Electronics,12.999299,77.577137
Vismaya Electronics Jayamahal,Jayamahal Main Road,Bengaluru,Karnataka,India,Home Appliances,13.007069,77.591144
Vismaya Electronics Jayamahal Digital,Jayamahal Main Road,Bengaluru,Karnataka,India,Mobile & Accessories,13.008464,77.591226
Vismaya Electronics Seshadripuram,Seshadripuram Main Road,Bengaluru,Karnataka,India,Electronics,12.99176,77.579892
Vismaya Electronics Seshadripuram Digital,Seshadripuram Main Road,Bengaluru,Karnataka,India,Consumer Electronics,12.990014,77.578799
Vismaya Electronics Cunningham Road,Cunningham Road,Bengaluru,Karnataka,India,Home Appliances,12.988288,77.592692
Vismaya Electronics Cunningham Road Digital,Cunningham Road,Bengaluru,Karnataka,India,Mobile & Accessories,12.98706,77.593645
Vismaya Electronics Sanjaynagar,Sanjaynagar Main Road,Bengaluru,Karnataka,India,Electronics,13.025563,77.576173
Vismaya Electronics Sanjaynagar Digital,Sanjaynagar Main Road,Bengaluru,Karnataka,India,Consumer Electronics,13.024826,77.577084
Vismaya Electronics New BEL Road,New BEL Road opposite MS Ramaiah,Bengaluru,Karnataka,India,Home Appliances,13.02782,77.568229
Vismaya Electronics New BEL Road Digital,New BEL Road opposite MS Ramaiah,Bengaluru,Karnataka,India,Mobile & Accessories,13.028629,77.568291
Vismaya Electronics Benson Town,Nandidurga Road Benson Town,Bengaluru,Karnataka,India,Electronics,13.000273,77.599888
Vismaya Electronics Benson Town Digital,Nandidurga Road Benson Town,Bengaluru,Karnataka,India,Consumer Electronics,12.999901,77.599678
Vismaya Electronics SP Road,SP Road Electronics Market,Bengaluru,Karnataka,India,Home Appliances,12.963111,77.577087
Vismaya Electronics SP Road Digital,SP Road Electronics Market,Bengaluru,Karnataka,India,Mobile & Accessories,12.964867,77.576518
Vismaya Electronics SP Road Express,SP Road Electronics Market,Bengaluru,Karnataka,India,Electronics,12.964898,77.575435
Vismaya Electronics MG Road,MG Road Brigade Road Junction,Bengaluru,Karnataka,India,Consumer Electronics,12.975159,77.605702
Vismaya Electronics MG Road Digital,MG Road Brigade Road Junction,Bengaluru,Karnataka,India,Home Appliances,12.975428,77.607446
Vismaya Electronics Indiranagar,100 Feet Road Indiranagar,Bengaluru,Karnataka,India,Mobile & Accessories,12.97272,77.641142
Vismaya Electronics Indiranagar Digital,100 Feet Road Indiranagar,Bengaluru,Karnataka,India,Electronics,12.971518,77.642278
Vismaya Electronics Koramangala,80 Feet Road 5th Block Koramangala,Bengaluru,Karnataka,India,Consumer Electronics,12.933433,77.62548
Vismaya Electronics Koramangala Digital,80 Feet Road 5th Block Koramangala,Bengaluru,Karnataka,India,Home Appliances,12.934982,77.625637
Vismaya Electronics Jayanagar,4th Block Jayanagar,Bengaluru,Karnataka,India,Mobile & Accessories,12.925612,77.593843
Vismaya Electronics Jayanagar Digital,4th Block Jayanagar,Bengaluru,Karnataka,India,Electronics,12.925829,77.594887
Vismaya Electronics Rajajinagar,Dr Rajkumar Road Rajajinagar,Bengaluru,Karnataka,India,Consumer Electronics,12.991201,77.551551
Vismaya Electronics Rajajinagar Digital,Dr Rajkumar Road Rajajinagar,Bengaluru,Karnataka,India,Home Appliances,12.990631,77.551085
Vismaya Electronics Vijayanagar,Vijayanagar Main Road,Bengaluru,Karnataka,India,Mobile & Accessories,12.972388,77.531882
Vismaya Electronics Basaveshwaranagar,Basaveshwaranagar 3rd Stage,Bengaluru,Karnataka,India,Electronics,12.992467,77.535293
Vismaya Electronics Yeshwanthpur,Yeshwanthpur Circle,Bengaluru,Karnataka,India,Consumer Electronics,13.02407,77.550996
Vismaya Electronics Hebbal,Hebbal Outer Ring Road,Bengaluru,Karnataka,India,Home Appliances,13.036792,77.596695
Vismaya Electronics Hebbal Digital,Hebbal Outer Ring Road,Bengaluru,Karnataka,India,Mobile & Accessories,13.036113,77.598089
Vismaya Electronics Yelahanka,Yelahanka New Town,Bengaluru,Karnataka,India,Electronics,13.099916,77.595783
Vismaya Electronics Whitefield,ITPL Main Road Whitefield,Bengaluru,Karnataka,India,Consumer Electronics,12.970736,77.75028
Vismaya Electronics Whitefield Digital,ITPL Main Road Whitefield,Bengaluru,Karnataka,India,Home Appliances,12.971077,77.750746
Vismaya Electronics Marathahalli,Marathahalli Outer Ring Road,Bengaluru,Karnataka,India,Mobile & Accessories,12.958445,77.697981
Vismaya Electronics Marathahalli Digital,Marathahalli Outer Ring Road,Bengaluru,Karnataka,India,Electronics,12.958001,77.697361
Vismaya Electronics HSR Layout,HSR Layout Sector 1,Bengaluru,Karnataka,India,Consumer Electronics,12.912472,77.639784
Vismaya Electronics BTM Layout,BTM Layout 2nd Stage,Bengaluru,Karnataka,India,Home Appliances,12.916047,77.609861
Vismaya Electronics Electronic City,Hosur Road Electronic City Phase 1,Bengaluru,Karnataka,India,Mobile & Accessories,12.844816,77.659335
Vismaya Electronics Electronic City Digital,Hosur Road Electronic City Phase 1,Bengaluru,Karnataka,India,Electronics,12.844496,77.661025
Vismaya Electronics JP Nagar,24th Main JP Nagar 6th Phase,Bengaluru,Karnataka,India,Consumer Electronics,12.908302,77.586354
Vismaya Electronics Banashankari,Banashankari 2nd Stage,Bengaluru,Karnataka,India,Home Appliances,12.923731,77.54527
Vismaya Electronics KR Puram,Old Madras Road KR Puram,Bengaluru,Karnataka,India,Mobile & Accessories,13.00577,77.695826
Vismaya Electronics Bellandur,Bellandur Outer Ring Road,Bengaluru,Karnataka,India,Electronics,12.924756,77.677637
Vismaya Electronics Peenya,Peenya Industrial Area,Bengaluru,Karnataka,India,Consumer Electronics,13.028973,77.518356
Vismaya Electronics Mysuru,Sayyaji Rao Road,Mysuru,Karnataka,India,Home Appliances,12.305834,76.656208
Vismaya Electronics Mysuru Digital,Sayyaji Rao Road,Mysuru,Karnataka,India,Mobile & Accessories,12.305284,76.655884
Vismaya Electronics Mangaluru,Balmatta Road,Mangaluru,Karnataka,India,Electronics,12.869246,74.842709
Vismaya Electronics Hubballi,Koppikar Road,Hubballi,Karnataka,India,Consumer Electronics,15.364962,75.123547
Vismaya Electronics Belagavi,Khanapur Road,Belagavi,Karnataka,India,Home Appliances,15.850309,74.497892
Vismaya Electronics Davanagere,PB Road Davanagere,Davanagere,Karnataka,India,Mobile & Accessories,14.463814,75.923047
Vismaya Electronics Tumakuru,MG Road Tumakuru,Tumakuru,Karnataka,India,Electronics,13.337845,77.118374
Vismaya Electronics Shivamogga,Balaraj Urs Road,Shivamogga,Karnataka,India,Consumer Electronics,13.930471,75.569391
Vismaya Electronics Udupi,Car Street Udupi,Udupi,Karnataka,India,Home Appliances,13.340448,74.741931
Vismaya Electronics Sadashivanagar 15th Cross,15th Cross Sadashivanagar,Bengaluru,Karnataka,India,Mobile & Accessories,,
Vismaya Electronics Bellary Road,Bellary Road near Mekhri Circle,Bengaluru,Karnataka,India,Electronics,,
Vismaya Electronics Malleswaram 15th Cross,15th Cross Malleswaram,Bengaluru,Karnataka,India,Consumer Electronics,,
Vismaya Electronics Kumara Park West,Kumara Park West,Bengaluru,Karnataka,India,Home Appliances,,
Vismaya Electronics Dollars Colony,Dollars Colony RMV 2nd Stage,Bengaluru,Karnataka,India,Mobile & Accessories,,
Vismaya Electronics Vasanth Nagar,Vasanth Nagar Cunningham Road,Bengaluru,Karnataka,India,Electronics,,
Vismaya Electronics Mathikere,Mathikere Main Road,Bengaluru,Karnataka,India,Consumer Electronics,,
Vismaya Electronics Sadashivanagar Club Road,Club Road Sadashivanagar,Bengaluru,Karnataka,India,Home Appliances,,
