store_name,address,city,state,country,category,latitude,longitude
Kadambari Sweets & Bakes Electronic City Annexe,Hosur Road Electronic City Phase 1,Bengaluru,Karnataka,India,Sweet Shop,12.845312,77.659469
Kadambari Sweets & Bakes Hebbal,Hebbal Outer Ring Road,Bengaluru,Karnataka,India,Bakery,13.037045,77.597339
Kadambari Sweets & Bakes Hebbal Annexe,Hebbal Outer Ring Road,Bengaluru,Karnataka,India,Sweets & Bakery,13.036063,77.59763
Kadambari Sweets & Bakes Yelahanka,Yelahanka New Town,Bengaluru,Karnataka,India,Confectionery,13.099555,77.595088
Kadambari Sweets & Bakes Yelahanka Annexe,Yelahanka New Town,Bengaluru,Karnataka,India,Sweet Shop,13.099972,77.597519
Kadambari Sweets & Bakes KR Puram,Old Madras Road KR Puram,Bengaluru,Karnataka,India,Bakery,13.007963,77.696057
Kadambari Sweets & Bakes KR Puram Annexe,Old Madras Road KR Puram,Bengaluru,Karnataka,India,Sweets & Bakery,13.005989,77.694967
Kadambari Sweets & Bakes Vijayanagar,Vijayanagar Main Road,Bengaluru,Karnataka,India,Confectionery,12.972494,77.533455
Kadambari Sweets & Bakes Vijayanagar Annexe,Vijayanagar Main Road,Bengaluru,Karnataka,India,Sweet Shop,12.9718,77.53353
Kadambari Sweets & Bakes Basaveshwaranagar,Basaveshwaranagar 3rd Stage,Bengaluru,Karnataka,India,Bakery,12.993889,77.534767
Kadambari Sweets & Bakes Basaveshwaranagar Annexe,Basaveshwaranagar 3rd Stage,Bengaluru,Karnataka,India,Sweets & Bakery,12.992759,77.535157
Kadambari Sweets & Bakes Kengeri,Kengeri Satellite Town,Bengaluru,Karnataka,India,Confectionery,12.906896,77.48327
Kadambari Sweets & Bakes Peenya,Peenya Industrial Area,Bengaluru,Karnataka,India,Sweet Shop,13.026869,77.520105
Kadambari Sweets & Bakes Nagarbhavi,Nagarbhavi Main Road,Bengaluru,Karnataka,India,Bakery,12.960605,77.509802
Kadambari Sweets & Bakes Bellandur,Bellandur Outer Ring Road,Bengaluru,Karnataka,India,Sweets & Bakery,12.925038,77.679285
Kadambari Sweets & Bakes Bellandur Annexe,Bellandur Outer Ring Road,Bengaluru,Karnataka,India,Confectionery,12.926648,77.677578
Kadambari Sweets & Bakes Sarjapur Road,Sarjapur Main Road,Bengaluru,Karnataka,India,Sweet Shop,12.902055,77.687118
Kadambari Sweets & Bakes Sarjapur Road Annexe,Sarjapur Main Road,Bengaluru,Karnataka,India,Bakery,12.900621,77.687144
Kadambari Sweets & Bakes Mysuru,Sayyaji Rao Road,Mysuru,Karnataka,India,Sweets & Bakery,12.304553,76.656442
Kadambari Sweets & Bakes Mysuru Annexe,Sayyaji Rao Road,Mysuru,Karnataka,India,Confectionery,12.305729,76.654799
Kadambari Sweets & Bakes Mangaluru,Balmatta Road,Mangaluru,Karnataka,India,Sweet Shop,12.870614,74.840945
Kadambari Sweets & Bakes Mangaluru Annexe,Balmatta Road,Mangaluru,Karnataka,India,Bakery,12.870813,74.843241
Kadambari Sweets & Bakes Hubballi,Koppikar Road,Hubballi,Karnataka,India,Sweets & Bakery,15.363797,75.122744
Kadambari Sweets & Bakes Hubballi Annexe,Koppikar Road,Hubballi,Karnataka,India,Confectionery,15.365898,75.123303
Kadambari Sweets & Bakes Belagavi,Khanapur Road,Belagavi,Karnataka,India,Sweet Shop,15.848595,74.496641
Kadambari Sweets & Bakes Davanagere,PB Road Davanagere,Davanagere,Karnataka,India,Bakery,14.464838,75.922958
Kadambari Sweets & Bakes Shivamogga,Balaraj Urs Road,Shivamogga,Karnataka,India,Sweets & Bakery,13.929262,75.568173
Kadambari Sweets & Bakes Tumakuru,MG Road Tumakuru,Tumakuru,Karnataka,India,Confectionery,13.337827,77.118171
Kadambari Sweets & Bakes Ballari,Bruce Pet Ballari,Ballari,Karnataka,India,Sweet Shop,15.140673,76.922044
Kadambari Sweets & Bakes Udupi,Car Street Udupi,Udupi,Karnataka,India,Bakery,13.34165,74.742529
Kadambari Sweets & Bakes Kalaburagi,Super Market Kalaburagi,Kalaburagi,Karnataka,India,Sweets & Bakery,17.329613,76.834618
Kadambari Sweets & Bakes Malleswaram 18th Cross,18th Cross Malleswaram,Bengaluru,Karnataka,India,Confectionery,,
Kadambari Sweets & Bakes Kumara Park,Kumara Park West,Bengaluru,Karnataka,India,Sweet Shop,,
Kadambari Sweets & Bakes Rajajinagar 5th Block,5th Block Rajajinagar,Bengaluru,Karnataka,India,Bakery,,
Kadambari Sweets & Bakes Sheshadripuram College Road,Sheshadripuram College Road,Bengaluru,Karnataka,India,Sweets & Bakery,,
Kadambari Sweets & Bakes Malleswaram 11th Cross,11th Cross Malleswaram,Bengaluru,Karnataka,India,Confectionery,,
Kadambari Sweets & Bakes Swimming Pool Extension,Swimming Pool Extension Malleswaram,Bengaluru,Karnataka,India,Sweet Shop,,
Kadambari Sweets & Bakes Nandidurga Road,Nandidurga Road Benson Town,Bengaluru,Karnataka,India,Bakery,,
Kadambari Sweets & Bakes Sanjaynagar,Sanjaynagar Main Road,Bengaluru,Karnataka,India,Sweets & Bakery,,
Kadambari Sweets & Bakes Jalahalli Cross,Jalahalli Cross Tumkur Road,Bengaluru,Karnataka,India,Confectionery,,
Kadambari Sweets & Bakes Kammanahalli,Kammanahalli Main Road,Bengaluru,Karnataka,India,Sweet Shop,,
